SYMBOL,Market Cap,Current Price,High / Low,Stock P/E,Book Value,Dividend Yield,ROCE,ROE,Face Value,np_quarterly,np_yearly,Compounded Sales Growth,Compounded Profit Growth,CWIP,Cash from Operating Activities,Debtor Days,Promoter holding,FIIs,DIIs,Public
20MICRONS,832,236,348/158,13.1,122,0.53,19.2,16.3,5.00,"['11', '13', '12', '7', '9', '15', '16', '12', '14', '18', '16', '13', '15']","['-2', '-2', '11', '16', '19', '25', '24', '23', '35', '42', '56', '62']",17%,11%,"['9', '7', '4', '7', '8', '4', '11', '3', '5', '8', '12', '9']","['37', '30', '25', '44', '61', '53', '45', '52', '35', '63', '54', '32']","['65', '51', '57', '56', '57', '53', '57', '68', '60', '51', '59', '57']","['44.83%', '44.83%', '44.83%', '44.83%', '44.83%', '44.95%', '44.95%', '44.95%', '44.95%', '44.99%', '45.04%', '45.04%', '44.30%', '43.36%', '44.03%', '44.83%', '44.83%', '44.83%', '44.83%', '44.95%', '45.04%']","['0.70%', '1.02%', '0.73%', '0.93%', '0.72%', '0.72%', '0.72%', '0.73%', '0.78%', '1.00%', '0.87%', '0.84%', '0.00%', '0.00%', '0.00%', '0.00%', '0.00%', '1.07%', '0.93%', '0.73%', '0.84%']","['0.00%', '0.13%', '0.13%', '0.00%', '0.00%', '0.00%', '0.00%', '0.00%', '0.06%', '0.02%', '0.02%', '0.15%', '0.03%', '0.37%', '0.11%', '0.00%', '0.00%', '0.00%', '0.00%', '0.00%', '0.15%']","['54.47%', '54.03%', '54.31%', '54.23%', '54.45%', '54.33%', '54.33%', '54.32%', '54.21%', '53.99%', '54.08%', '53.97%', '55.67%', '56.27%', '55.86%', '55.17%', '55.17%', '54.10%', '54.23%', '54.32%', '53.97%']"
21STCENMGM,70.4,67.0,141/53.6,5.71,48.6,3.73,37.4,23.7,10.0,"['-10', '-4', '-2', '-4', '-8', '-3', '2', '16', '17', '24', '2', '-4', '-11']","['-1', '24', '-7', '6', '6', '-6', '-32', '5', '15', '-18', '32', '12']",193%,-62%,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['-12', '27', '-9', '10', '17', '-24', '-16', '2', '25', '-4', '-3', '5']","['7,339', '322', '-1,997', '1,282', '198', '-2,289', '-181', '940', '0', '0', '162', '25']","['61.29%', '61.29%', '61.29%', '61.69%', '62.77%', '62.77%', '64.25%', '64.25%', '64.30%', '64.09%', '64.09%', '64.43%', '46.04%', '50.99%', '55.23%', '55.87%', '60.63%', '60.82%', '61.69%', '64.25%', '64.43%']","['0.00%', '1.73%', '0.35%', '0.35%', '0.00%', '0.00%', '0.00%', '0.00%', '0.00%', '0.00%', '0.00%', '0.00%', '0.00%', '0.00%', '0.35%', '0.00%', '0.00%', '0.00%', '0.35%', '0.00%', '0.00%']","['0.50%', '0.15%', '0.15%', '0.15%', '0.00%', '0.00%', '0.00%', '0.00%', '0.00%', '0.00%', '0.00%', '0.00%', '0.50%', '1.88%', '0.15%', '0.50%', '0.50%', '0.50%', '0.15%', '0.00%', '0.00%']","['38.22%', '36.83%', '38.21%', '37.81%', '37.23%', '37.24%', '35.76%', '35.75%', '35.71%', '35.91%', '35.91%', '35.58%', '53.47%', '47.13%', '44.27%', '43.63%', '38.88%', '38.68%', '37.81%', '35.75%', '35.58%']"
360ONE,"42,532","1,079","1,318/766",39.3,180,0.53,14.9,20.6,1.00,"['165', '157', '174', '172', '155', '184', '186', '192', '243', '244', '245', '276', '250']","['380', '375', '201', '369', '578', '658', '804', '1,015']",13%,34%,"['22', '173', '1', '2', '0', '39', '64', '0']","['-2,772', '1,852', '1,628', '463', '929', '-1,323', '-470', '-2,411']","['42', '68', '58', '50', '47', '54', '41', '49']","['23.19%', '22.03%', '22.02%', '21.46%', '20.84%', '17.78%', '17.76%', '15.79%', '15.71%', '14.76%', '14.20%', '7.08%', '22.93%', '22.92%', '23.14%', '22.02%', '17.76%', '14.20%', '7.08%']","['23.01%', '61.16%', '64.83%', '63.93%', '61.87%', '62.48%', '63.22%', '64.56%', '65.58%', '66.16%', '67.22%', '66.78%', '20.06%', '24.20%', '22.13%', '64.83%', '63.22%', '67.22%', '66.78%']","['3.05%', '2.18%', '2.22%', '3.79%', '6.36%', '8.87%', '8.34%', '8.72%', '8.46%', '9.73%', '8.48%', '7.59%', '1.34%', '2.04%', '3.57%', '2.22%', '8.34%', '8.48%', '7.59%']","['50.74%', '14.63%', '10.94%', '10.82%', '10.92%', '10.86%', '10.70%', '10.92%', '10.23%', '9.36%', '10.08%', '18.53%', '55.67%', '50.84%', '51.17%', '10.94%', '10.70%', '10.08%', '18.53%']"
3IINFOLTD,453,26.7,42.6/20.0,17.9,18.1,0.00,5.13,8.45,10.0,"['-4', '-2', '17', '13', '-27', '-16', '-154', '-29', '-100', '-9', '-4', '17', '27']","['-357', '-976', '-552', '94', '71', '68', '68', '391', '-57', '1', '-298', '25']",-11%,136%,"['16', '0', '0', '0', '0', '0', '0', '0', '8', '42', '6', '0']","['50', '-51', '199', '129', '93', '137', '169', '79', '-50', '145', '73', '44']","['59', '49', '58', '74', '78', '80', '100', '53', '51', '67', '70', '51']",[],"['0.22%', '0.54%', '0.59%', '0.68%', '0.70%', '0.61%', '0.73%', '0.94%', '1.00%', '0.81%', '0.78%', '0.46%', '3.42%', '0.37%', '0.23%', '0.07%', '0.08%', '0.25%', '0.68%', '0.94%', '0.46%']","['10.80%', '10.80%', '10.80%', '10.80%', '10.80%', '10.38%', '10.17%', '10.15%', '8.75%', '7.78%', '7.20%', '6.57%', '48.89%', '38.59%', '34.62%', '32.24%', '22.68%', '10.95%', '10.80%', '10.15%', '6.57%']","['88.98%', '88.67%', '88.61%', '88.53%', '88.51%', '89.02%', '89.10%', '88.91%', '90.25%', '91.40%', '92.01%', '92.96%', '47.69%', '61.04%', '65.15%', '67.69%', '77.24%', '88.80%', '88.53%', '88.91%', '92.96%']"
3MINDIA,"33,216","29,473","41,000/25,714",54.3,"1,906",0.54,40.5,30.5,10.0,"['30', '64', '67', '111', '84', '106', '125', '136', '129', '146', '135', '173', '157']","['333', '366', '322', '162', '272', '451', '583', '611']",3%,23%,"['6', '12', '7', '24', '23', '25', '12']","['36', '253', '245', '321', '327', '465', '643']","['77', '71', '65', '68', '58', '59', '61']","['75.00%', '75.00%', '75.00%', '75.00%', '75.00%', '75.00%', '75.00%', '75.00%', '75.00%', '75.00%', '75.00%', '75.00%', '75.00%', '75.00%', '75.00%', '75.00%', '75.00%', '75.00%', '75.00%', '75.00%', '75.00%']","['4.13%', '4.26%', '4.40%', '3.72%', '3.64%', '3.56%', '3.56%', '3.64%', '3.77%', '4.07%', '4.01%', '3.78%', '9.18%', '9.17%', '8.29%', '4.85%', '3.76%', '4.25%', '3.72%', '3.64%', '3.78%']","['6.37%', '6.90%', '6.90%', '7.93%', '8.34%', '8.45%', '8.52%', '8.44%', '8.27%', '8.13%', '8.16%', '8.08%', '2.54%', '2.05%', '2.22%', '4.42%', '7.64%', '6.54%', '7.93%', '8.44%', '8.08%']","['14.50%', '13.83%', '13.70%', '13.35%', '13.02%', '12.98%', '12.92%', '12.92%', '12.95%', '12.80%', '12.84%', '13.13%', '13.28%', '13.78%', '14.49%', '15.73%', '13.60%', '14.21%', '13.35%', '12.92%', '13.13%']"
3PLAND,104,57.6,82.1/0.00,49.6,77.6,0.00,2.32,1.75,2.00,"['0.23', '0.24', '0.75', '0.28', '0.27', '0.26', '0.80', '0.39', '0.36', '0.38', '0.96', '0.38', '0.37']","['-1.81', '-0.78', '0.18', '-0.17', '-0.07', '-0.20', '3.69', '-0.14', '1.15', '1.54', '1.81', '2.09']",26%,15%,"['0.07', '0.04', '-0.00', '-0.00', '-0.00', '-0.00', '-0.00', '-0.00', '-0.00', '-0.00', '-0.00', '-0.00']","['10.29', '-12.43', '-0.28', '0.10', '-0.32', '-0.46', '-0.86', '-0.01', '-0.08', '0.01', '0.12', '1.17']","['48.13', '46.54', '472.84', '88.48', '-0.00', '-0.00', '-0.00', '-0.00', '-0.00', '-0.00', '-0.00', '-0.00']","['73.30%', '73.30%', '73.30%', '73.30%', '73.30%', '73.30%', '73.30%', '73.30%', '73.30%', '73.30%', '73.30%', '73.30%', '72.27%', '72.55%', '72.55%', '72.55%', '73.24%', '73.30%', '73.30%', '73.30%', '73.30%']",[],"['0.11%', '0.00%', '0.00%', '0.00%', '0.00%', '0.00%', '0.00%', '0.00%', '0.00%']","['26.70%', '26.70%', '26.69%', '26.70%', '26.71%', '26.71%', '26.69%', '26.69%', '26.69%', '26.69%', '26.69%', '26.69%', '27.61%', '27.45%', '27.45%', '27.45%', '26.75%', '26.70%', '26.70%', '26.69%', '26.69%']"
5PAISA,"1,313",420,607/311,19.3,193,0.00,13.6,11.9,10.0,"['4', '7', '11', '11', '14', '15', '19', '15', '6', '20', '22', '16', '10']","['-12', '-25', '-19', '-8', '15', '14', '44', '54', '68']",-9%,25%,"['0', '0', '0', '2', '0', '0', '0', '0', '0']","['-21', '-51', '15', '-237', '2', '-141', '25', '-92', '98']","['20', '10', '12', '0', '0', '0', '0', '0', '0']","['29.94%', '32.68%', '32.68%', '33.33%', '33.39%', '33.27%', '32.84%', '32.80%', '32.78%', '32.77%', '32.76%', '32.75%', '30.01%', '30.40%', '34.58%', '34.53%', '29.95%', '33.33%', '32.80%', '32.75%']","['24.85%', '23.90%', '23.89%', '23.80%', '23.54%', '23.08%', '22.37%', '22.66%', '22.70%', '21.58%', '21.59%', '21.57%', '19.83%', '19.13%', '18.04%', '17.45%', '24.86%', '23.80%', '22.66%', '21.57%']","['0.00%', '0.00%', '0.00%', '0.00%', '0.00%', '0.00%', '0.20%', '0.29%', '0.25%', '0.25%', '0.25%', '0.25%', '0.40%', '0.00%', '0.00%', '0.00%', '0.00%', '0.00%', '0.29%', '0.25%']","['45.19%', '43.39%', '43.40%', '42.86%', '43.05%', '43.63%', '44.57%', '44.24%', '44.27%', '45.40%', '45.38%', '45.41%', '49.74%', '50.44%', '47.38%', '48.02%', '45.19%', '42.86%', '44.24%', '45.41%']"
63MOONS,"4,252",923,"1,080/315",,741,0.23,-2.31,-1.62,2.00,"['2', '-6', '-14', '20', '-26', '37', '79', '89', '4', '-11', '-24', '-23', '11']","['865', '426', '328', '23', '12', '-35', '-46', '-63', '-56', '-27', '210', '-47']",-90%,-126%,"['4', '0', '0', '0', '3', '0', '0', '0', '0', '0', '1', '0']","['-384', '-81', '-159', '-113', '-60', '-55', '-64', '-36', '-102', '71', '47', '-143']","['87', '76', '66', '77', '51', '98', '81', '92', '92', '56', '35', '23']","['45.63%', '45.63%', '45.63%', '45.63%', '45.63%', '45.63%', '45.63%', '45.63%', '45.63%', '45.63%', '45.63%', '45.63%', '45.63%', '45.63%', '45.63%', '45.63%', '45.63%', '45.63%', '45.63%', '45.63%', '45.63%']","['5.60%', '5.61%', '5.21%', '3.71%', '5.16%', '8.02%', '6.49%', '4.35%', '4.12%', '3.05%', '1.55%', '1.41%', '11.31%', '5.29%', '5.18%', '5.37%', '4.89%', '5.40%', '3.71%', '4.35%', '1.41%']","['0.12%', '0.12%', '0.12%', '0.12%', '0.12%', '0.12%', '0.12%', '0.12%', '0.09%', '0.01%', '0.01%', '0.00%', '0.25%', '0.19%', '0.13%', '0.13%', '0.13%', '0.12%', '0.12%', '0.12%', '0.00%']","['48.65%', '48.64%', '49.04%', '50.55%', '49.07%', '46.23%', '47.75%', '49.89%', '50.15%', '51.30%', '52.81%', '52.95%', '42.81%', '48.89%', '49.06%', '48.87%', '49.35%', '48.85%', '50.55%', '49.89%', '52.95%']"
A2ZINFRA,327,18.6,26.9/12.3,207,2.56,0.00,13.8,4.09,10.0,"['-15.22', '-2.75', '-5.27', '-54.35', '-63.68', '-1.57', '-3.49', '-1.85', '-0.46', '-0.64', '1.34', '-0.92', '1.26']","['-247', '-209', '-132', '-306', '-87', '287', '-278', '-81', '-180', '-126', '-7', '1']",-13%,103%,"['734', '601', '603', '385', '310', '143', '91', '91', '94', '55', '58', '18']","['-94', '30', '5', '66', '35', '83', '-26', '-7', '38', '55', '95', '54']","['423', '489', '310', '489', '674', '413', '478', '794', '528', '339', '147', '114']","['28.14%', '28.15%', '28.15%', '28.15%', '28.15%', '28.15%', '28.15%', '28.15%', '28.15%', '28.15%', '28.15%', '28.15%', '40.83%', '29.56%', '29.24%', '28.67%', '28.14%', '28.14%', '28.15%', '28.15%', '28.15%']","['1.06%', '0.96%', '0.84%', '1.61%', '1.61%', '1.61%', '1.61%', '1.61%', '1.64%', '1.62%', '1.28%', '1.03%', '5.34%', '2.69%', '2.44%', '2.44%', '2.47%', '0.89%', '1.61%', '1.61%', '1.03%']","['0.00%', '0.00%', '0.00%', '0.00%', '0.00%', '0.00%', '0.00%', '0.00%', '0.01%', '0.01%', '0.11%', '0.10%', '5.72%', '11.24%', '10.71%', '0.01%', '0.00%', '0.00%', '0.00%', '0.00%', '0.10%']","['70.80%', '70.90%', '71.02%', '70.24%', '70.25%', '70.23%', '70.24%', '70.25%', '70.20%', '70.22%', '70.46%', '70.73%', '48.11%', '56.51%', '57.61%', '68.88%', '69.39%', '70.97%', '70.24%', '70.25%', '70.73%']"
AAATECH,117,91.4,161/66.0,33.4,24.0,0.53,16.0,11.9,10.0,"['1.14', '0.34', '0.98', '0.76', '0.80', '0.62', '1.03', '1.46', '0.11', '0.81', '1.15', '0.55', '1.00']","['0.15', '0.14', '0.14', '0.13', '1.00', '2.06', '3.69', '1.14', '2.34', '2.87', '3.21', '3.51']",26%,9%,"['0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00']","['0.00', '0.00', '0.00', '0.00', '0.95', '0.94', '1.17', '-7.29', '3.87', '4.89', '7.72', '1.66']","['64.56', '58.00', '59.15', '65.46', '256.89', '225.21', '280.71', '331.88', '291.62', '126.84', '107.57', '110.25']","['71.51%', '71.51%', '71.51%', '71.51%', '71.51%', '71.51%', '71.51%', '71.51%', '71.51%', '71.51%', '71.51%', '71.51%', '71.51%', '71.51%', '71.51%', '71.51%', '71.51%']","['0.00%', '0.00%', '0.00%', '0.00%', '0.00%', '0.00%', '0.00%', '0.00%', '0.00%', '0.03%', '0.00%', '0.00%']",[],"['28.48%', '28.49%', '28.50%', '28.48%', '28.49%', '28.49%', '28.49%', '28.50%', '28.50%', '28.45%', '28.49%', '28.49%', '28.49%', '28.48%', '28.48%', '28.50%', '28.49%']"
