SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,Symbol,Sector
20MICRONS,20 Microns Limited,EQ,06-OCT-2008,5,1,INE144J01027,5,20MICRONS,Commodities > Metals & Mining > Minerals & Mining > Industrial Minerals
21STCENMGM,21st Century Management Services Limited,EQ,03-MAY-1995,10,1,INE253B01015,10,21STCENMGM,Financial Services > Financial Services > Capital Markets > Other Capital Market related Services
360ONE,360 ONE WAM LIMITED,EQ,19-SEP-2019,1,1,INE466L01038,1,360ONE,Financial Services > Financial Services > Capital Markets > Stockbroking & Allied
3IINFOLTD,3i Infotech Limited,EQ,22-OCT-2021,10,1,INE748C01038,10,3IINFOLTD,Information Technology > Information Technology > IT - Software > Computers - Software & Consulting
3MINDIA,3M India Limited,EQ,13-AUG-2004,10,1,INE470A01017,10,3MINDIA,Diversified > Diversified > Diversified > Diversified
3PLAND,3P Land Holdings Limited,EQ,19-JUL-1995,2,1,INE105C01023,2,3PLAND,Financial Services > Financial Services > Finance > Investment Company
5PAISA,5Paisa Capital Limited,EQ,16-NOV-2017,10,1,INE618L01018,10,5PAISA,Financial Services > Financial Services > Capital Markets > Stockbroking & Allied
63MOONS,63 moons technologies limited,EQ,20-JUN-2005,2,1,INE111B01023,2,63MOONS,Information Technology > Information Technology > IT - Software > Computers - Software & Consulting
A2ZINFRA,A2Z Infra Engineering Limited,BE,23-DEC-2010,10,1,INE619I01012,10,A2ZINFRA,Industrials > Construction > Construction > Civil Construction
AAATECH,AAA Technologies Limited,EQ,28-NOV-2022,10,1,INE0D0U01013,10,AAATECH,Services > Services > Commercial Services & Supplies > Consulting Services
AADHARHFC,Aadhar Housing Finance Limited,EQ,15-MAY-2024,10,1,INE883F01010,10,AADHARHFC,Financial Services > Financial Services > Finance > Housing Finance Company
AAKASH,Aakash Exploration Services Limited,EQ,29-SEP-2020,1,1,INE087Z01024,1,AAKASH,"Energy > Oil, Gas & Consumable Fuels > Oil > Offshore Support Solution Drilling"
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,BE,06-AUG-2021,10,1,INE198H01019,10,AAREYDRUGS,Healthcare > Healthcare > Pharmaceuticals & Biotechnology > Pharmaceuticals
