SYMBOL,Market Cap,Current Price,High / Low,Stock P/E,Book Value,Dividend Yield,ROCE,ROE,Face Value,np_quarterly,np_yearly,Compounded Sales Growth,Compounded Profit Growth,CWIP,Cash from Operating Activities,Debtor Days,Promoter holding,FIIs,DIIs,Public
20MICRONS,794,225,348/152,12.4,122,0.54,19.2,16.3,5.00,"['11', '13', '12', '7', '9', '15', '16', '12', '14', '18', '16', '13', '15']","['-2', '-2', '11', '16', '19', '25', '24', '23', '35', '42', '56', '62']",17%,11%,"['9', '7', '4', '7', '8', '4', '11', '3', '5', '8', '12', '9']","['37', '30', '25', '44', '61', '53', '45', '52', '35', '63', '54', '32']","['65', '51', '57', '56', '57', '53', '57', '68', '60', '51', '59', '57']","['44.30%', '43.36%', '44.03%', '44.83%', '44.83%', '44.83%', '44.83%', '44.95%', '45.04%']","['0.00%', '0.00%', '0.00%', '0.00%', '0.00%', '1.07%', '0.93%', '0.73%', '0.84%']","['0.03%', '0.37%', '0.11%', '0.00%', '0.00%', '0.00%', '0.00%', '0.00%', '0.15%']","['55.67%', '56.27%', '55.86%', '55.17%', '55.17%', '54.10%', '54.23%', '54.32%', '53.97%']"
21STCENMGM,71.6,68.2,141/47.6,5.80,48.6,3.66,37.4,23.7,10.0,"['-10', '-4', '-2', '-4', '-8', '-3', '2', '16', '17', '24', '2', '-4', '-11']","['-1', '24', '-7', '6', '6', '-6', '-32', '5', '15', '-18', '32', '12']",193%,-62%,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['-12', '27', '-9', '10', '17', '-24', '-16', '2', '25', '-4', '-3', '5']","['7,339', '322', '-1,997', '1,282', '198', '-2,289', '-181', '940', '0', '0', '162', '25']","['46.04%', '50.99%', '55.23%', '55.87%', '60.63%', '60.82%', '61.69%', '64.25%', '64.43%']","['0.00%', '0.00%', '0.35%', '0.00%', '0.00%', '0.00%', '0.35%', '0.00%', '0.00%']","['0.50%', '1.88%', '0.15%', '0.50%', '0.50%', '0.50%', '0.15%', '0.00%', '0.00%']","['53.47%', '47.13%', '44.27%', '43.63%', '38.88%', '38.68%', '37.81%', '35.75%', '35.58%']"
360ONE,"40,480","1,027","1,318/691",37.4,180,0.60,14.9,20.6,1.00,"['165', '157', '174', '172', '155', '184', '186', '192', '243', '244', '245', '276', '250']","['380', '375', '201', '369', '578', '658', '804']",13%,34%,"['22', '173', '1', '2', '0', '39', '64', '0']","['-2,772', '1,852', '1,628', '463', '929', '-1,323', '-470', '-2,411']","['42', '68', '58', '50', '47', '54', '41', '49']",[],"['20.06%', '24.20%', '22.13%', '64.83%', '63.22%', '67.22%']","['1.34%', '2.04%', '3.57%', '2.22%', '8.34%', '8.48%']","['55.67%', '50.84%', '51.17%', '10.94%', '10.70%', '10.08%']"
3IINFOLTD,427,25.2,42.6/20.0,16.8,18.1,0.00,5.13,8.45,10.0,"['-4', '-2', '17', '13', '-27', '-16', '-154', '-29', '-100', '-9', '-4', '17', '27']","['-357', '-976', '-552', '94', '71', '68', '68', '391', '-57', '1', '-298', '25']",-11%,136%,"['16', '0', '0', '0', '0', '0', '0', '0', '8', '42', '6', '0']","['50', '-51', '199', '129', '93', '137', '169', '79', '-50', '145', '73', '44']","['59', '49', '58', '74', '78', '80', '100', '53', '51', '67', '70', '51']",[],"['3.42%', '0.37%', '0.23%', '0.07%', '0.08%', '0.25%', '0.68%', '0.94%', '0.46%']","['48.89%', '38.59%', '34.62%', '32.24%', '22.68%', '10.95%', '10.80%', '10.15%', '6.57%']","['47.69%', '61.04%', '65.15%', '67.69%', '77.24%', '88.80%', '88.53%', '88.91%', '92.96%']"
3MINDIA,"33,585","29,800","41,000/25,714",54.9,"1,906",0.55,40.5,30.5,10.0,"['30', '64', '67', '111', '84', '106', '125', '136', '129', '146', '135', '173', '157']","['333', '366', '322', '162', '272', '451', '583', '611']",3%,23%,"['6', '12', '7', '24', '23', '25', '12']","['36', '253', '245', '321', '327', '465', '643']","['77', '71', '65', '68', '58', '59', '61']","['75.00%', '75.00%', '75.00%', '75.00%', '75.00%', '75.00%', '75.00%', '75.00%', '75.00%']","['9.18%', '9.17%', '8.29%', '4.85%', '3.76%', '4.25%', '3.72%', '3.64%', '3.78%']","['2.54%', '2.05%', '2.22%', '4.42%', '7.64%', '6.54%', '7.93%', '8.44%', '8.08%']","['13.28%', '13.78%', '14.49%', '15.73%', '13.60%', '14.21%', '13.35%', '12.92%', '13.13%']"
3PLAND,97.9,54.4,82.1/0.00,46.8,77.6,0.00,2.32,1.75,2.00,[],"['-1.81', '-0.78', '-0.17', '-0.07', '-0.20', '-0.14']",26%,15%,"['0.07', '0.04', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00']","['10.29', '-12.43', '-0.28', '0.10', '-0.32', '-0.46', '-0.86', '-0.01', '-0.08', '0.01', '0.12', '1.17']","['48.13', '46.54', '472.84', '88.48', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00']","['72.27%', '72.55%', '72.55%', '72.55%', '73.24%', '73.30%', '73.30%', '73.30%', '73.30%']",[],"['0.11%', '0.00%', '0.00%', '0.00%', '0.00%', '0.00%', '0.00%', '0.00%', '0.00%']","['27.61%', '27.45%', '27.45%', '27.45%', '26.75%', '26.70%', '26.70%', '26.69%', '26.69%']"
5PAISA,"1,285",411,607/311,18.8,193,0.00,13.6,11.9,10.0,"['4', '7', '11', '11', '14', '15', '19', '15', '6', '20', '22', '16', '10']","['-12', '-25', '-19', '-8', '15', '14', '44', '54', '68']",-9%,25%,"['0', '0', '0', '2', '0', '0', '0', '0', '0']","['-21', '-51', '15', '-237', '2', '-141', '25', '-92', '98']","['20', '10', '12', '0', '0', '0', '0', '0', '0']",[],"['19.83%', '19.13%', '18.04%', '17.45%', '24.86%', '23.80%', '22.66%', '21.57%']","['0.40%', '0.00%', '0.00%', '0.00%', '0.00%', '0.00%', '0.29%', '0.25%']","['49.74%', '50.44%', '47.38%', '48.02%', '45.19%', '42.86%', '44.24%', '45.41%']"
63MOONS,"3,912",849,"1,080/314",,741,0.23,-2.31,-1.62,2.00,"['2', '-6', '-14', '20', '-26', '37', '79', '89', '4', '-11', '-24', '-23', '11']","['865', '426', '328', '23', '12', '-35', '-46', '-63', '-56', '-27', '210', '-47']",-90%,-126%,"['4', '0', '0', '0', '3', '0', '0', '0', '0', '0', '1', '0']","['-384', '-81', '-159', '-113', '-60', '-55', '-64', '-36', '-102', '71', '47', '-143']","['87', '76', '66', '77', '51', '98', '81', '92', '92', '56', '35', '23']","['45.63%', '45.63%', '45.63%', '45.63%', '45.63%', '45.63%', '45.63%', '45.63%', '45.63%']","['11.31%', '5.29%', '5.18%', '5.37%', '4.89%', '5.40%', '3.71%', '4.35%', '1.41%']","['0.25%', '0.19%', '0.13%', '0.13%', '0.13%', '0.12%', '0.12%', '0.12%', '0.00%']","['42.81%', '48.89%', '49.06%', '48.87%', '49.35%', '48.85%', '50.55%', '49.89%', '52.95%']"
A2ZINFRA,299,17.0,26.9/12.3,190,2.14,0.00,10.7,4.91,10.0,"['-15.22', '-2.75', '-5.27', '-54.35', '-63.68', '-1.57', '-3.49', '-1.85', '-0.46', '-0.64', '-0.92']","['-247', '-209', '-132', '-306', '-87', '287', '-278', '-81', '-180', '-126', '-7', '1']",-13%,103%,"['734', '601', '603', '385', '310', '143', '91', '91', '94', '55', '58', '58']","['-94', '30', '5', '66', '35', '83', '-26', '-7', '38', '55', '95', '']","['423', '489', '310', '489', '674', '413', '478', '794', '528', '339', '147', '']",[],"['5.34%', '2.69%', '2.44%', '2.44%', '2.47%', '0.89%', '1.61%', '1.61%', '1.03%']","['5.72%', '11.24%', '10.71%', '0.01%', '0.00%', '0.00%', '0.00%', '0.00%', '0.10%']","['48.11%', '56.51%', '57.61%', '68.88%', '69.39%', '70.97%', '70.24%', '70.25%', '70.73%']"
AAATECH,111,86.2,161/66.0,31.5,24.0,0.57,16.0,11.9,10.0,[],[],26%,9%,"['0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00']","['0.00', '0.00', '0.00', '0.00', '0.95', '0.94', '1.17', '-7.29', '3.87', '4.89', '7.72', '1.66']","['64.56', '58.00', '59.15', '65.46', '256.89', '225.21', '280.71', '331.88', '291.62', '126.84', '107.57', '110.25']","['71.51%', '71.51%', '71.51%', '71.51%', '71.51%']",[],[],"['28.48%', '28.49%', '28.50%', '28.48%', '28.49%', '28.49%', '28.49%', '28.50%', '28.50%', '28.45%', '28.49%', '28.49%', '28.49%', '28.48%', '28.48%', '28.50%', '28.49%']"
